num_segments,video_duration,total_qoe,avg_qoe_per_segment,total_rebuf_time,rebuf_ratio,viewport_hits,viewport_misses,viewport_hit_rate,total_bits_downloaded,total_mb_downloaded,bandwidth_savings,avg_bandwidth_mbps,approach,user_trace_file,network_trace,video_id
77,77.77,-281.4999999999999,-3.6558441558441546,155.0,1.9930564485019933,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,medium_5mbps,Diving-2OzlksZBTiA
77,77.77,8.574999999999998,0.11136363636363633,0.75,0.009643821525009644,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,medium_5mbps,Diving-2OzlksZBTiA
77,77.77,-1771.4500000000023,-23.005844155844187,501.5,6.448501993056449,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,low_2mbps,Diving-2OzlksZBTiA
77,77.77,-282.21249999999964,-3.665097402597398,68.375,0.8791950623633792,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,low_2mbps,Diving-2OzlksZBTiA
77,77.77,-75.63750000000006,-0.9823051948051956,107.125,1.3774591744888776,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,variable,Diving-2OzlksZBTiA
77,77.77,2.174999999999999,0.028246753246753232,1.25,0.016073035875016073,60,91,0.3973509933774834,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,variable,Diving-2OzlksZBTiA
60,60.04,-213853.31811562966,-3564.2219685938276,49803.097236192974,829.4986215222015,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,Verizon1,Diving-2OzlksZBTiA
60,60.04,-53179.55452890745,-886.3259088151242,12406.524309048244,206.63764671965762,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,Verizon1,Diving-2OzlksZBTiA
60,60.04,-128927.7348688035,-2148.795581146725,30052.96159739611,500.54899396062814,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,Verizon2,Diving-2OzlksZBTiA
60,60.04,-31948.15871720087,-532.4693119533479,7468.990399349028,124.4002398292643,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,Verizon2,Diving-2OzlksZBTiA
60,60.04,-2429.1036418361787,-40.485060697269645,634.6752655432974,10.570873843159518,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,ATT2,Diving-2OzlksZBTiA
60,60.04,-323.50091045904475,-5.391681840984079,114.41881638582437,1.9057097998971415,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,ATT2,Diving-2OzlksZBTiA
60,60.04,-23456.397588853808,-390.9399598142301,5524.743625314839,92.01771527839506,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,ATT1,Diving-2OzlksZBTiA
60,60.04,-5573.824397213448,-92.8970732868908,1336.9359063287095,22.26742015870602,51,25,0.6710526315789473,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,ATT1,Diving-2OzlksZBTiA
60,60.04,-3479.056116220876,-57.984268603681265,878.8502595862501,14.637745829218023,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,TMobile2,Diving-2OzlksZBTiA
60,60.04,-585.9890290552186,-9.766483817586977,175.46256489656255,2.922427796411768,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,TMobile2,Diving-2OzlksZBTiA
60,60.04,-23955.515312427488,-399.2585885404581,5640.8175145180185,93.95099124780178,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,TMobile1,Diving-2OzlksZBTiA
60,60.04,-5705.103828106871,-95.08506380178119,1365.9543786295046,22.750739151057704,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,TMobile1,Diving-2OzlksZBTiA
60,60.04,-171.92499999999993,-2.8654166666666656,109.75,1.827948034643571,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,bw3,Diving-2OzlksZBTiA
60,60.04,164.46875,2.7411458333333334,0.9375,0.015614590273151232,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,bw3,Diving-2OzlksZBTiA
60,60.04,-3316.299999999997,-55.27166666666662,841.0,14.007328447701532,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,bw48,Diving-2OzlksZBTiA
60,60.04,-545.2999999999997,-9.08833333333333,166.0,2.764823451032645,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,bw48,Diving-2OzlksZBTiA
60,60.04,166.69999999999982,2.77833333333333,31.0,0.5163224516988675,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,high_10mbps,Diving-2OzlksZBTiA
60,60.04,166.8875,2.781458333333333,0.375,0.006245836109260493,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,high_10mbps,Diving-2OzlksZBTiA
